# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
yi ta hu tu 	一塌糊塗	c=1 d=1 t=20972
yi tao 	一套	c=1 d=1.84775e-17 t=22014
yi ti ji 	一體機	c=1 d=1.71688e-06 t=22014
yi tian 	一天	c=7 d=0.117095 t=22014
yi tiao 	一條	c=1 d=1.36408e-35 t=22014
yi wei 	以爲	c=13 d=0.730395 t=22014
yi wen 	疑問	c=1 d=1.38879e-11 t=22014
yi xia 	一下	c=47 d=0.277677 t=22014
yi xia 	以下	c=1 d=2.77745e-18 t=22014
yi xia zai 	已下在	c=1 d=1.18547e-31 t=22014
yi xia zi 	一下子	c=1 d=1.19141e-31 t=22014
yi xie 	一些	c=5 d=0.0536647 t=22014
yi yan 	一眼	c=2 d=1.2719e-06 t=22014
yi yang 	一樣	c=14 d=0.115326 t=22014
yi yang de 	抑扬的	c=1 d=1.26861e-05 t=22014
yi yi 	意義	c=2 d=6.66955e-30 t=22014
yi yuan 	醫院	c=1 d=7.51734e-26 t=22014
yi yue 	一月	c=1 d=2.33036e-12 t=22014
yi zhang 	一張	c=1 d=0.214381 t=22014
yi zheng ge 	一整个	c=3 d=1.31086e-08 t=22014
yi zhi 	一直	c=32 d=0.85702 t=22014
yi zhi 	已知	c=1 d=1.03147e-41 t=22014
yi zhi 	意志	c=3 d=7.33506e-39 t=22014
yi zhi 	益智	c=1 d=1 t=20361
yi zhong 	一種	c=2 d=1.29468e-09 t=22014
yin 	陰	c=1 d=1 t=20523
yin bi 	隱蔽	c=1 d=6.24026e-12 t=22014
yin biao 	音標	c=1 d=1 t=20617
yin cang 	隱藏	c=6 d=0.302704 t=22014
yin dao 	陰道	c=2 d=0.084163 t=22014
yin diao 	音調	c=1 d=1 t=20620
yin hang 	銀行	c=2 d=4.67915e-07 t=22014
yin hao 	引號	c=4 d=0.000272412 t=22014
yin jian 	陰間	c=1 d=1 t=20526
yin liang 	音量	c=5 d=1.10643e-19 t=22014
yin mou 	陰謀	c=1 d=3.25261e-23 t=22014
yin pin 	音頻	c=1 d=9.01244e-13 t=22014
yin qi 	引起	c=2 d=5.36683e-31 t=22014
yin si 	隱私	c=3 d=0.010657 t=22014
yin wei 	因爲	c=13 d=0.164015 t=22014
yin wo er 	因我而	c=1 d=1.09738e-05 t=22014
yin xiang 	印象	c=1 d=4.47454e-40 t=22014
yin xiao 	音效	c=1 d=8.77768e-26 t=22014
yin xing 	隱形	c=1 d=1 t=20344
yin ying 	陰影	c=1 d=1.62666e-18 t=22014
yin yue 	音樂	c=4 d=0.00248042 t=22014
ying bi 	硬筆	c=1 d=3.37133e-33 t=22014
ying gai 	應該	c=39 d=0.10214 t=22014
ying gai bu shi 	應該不是	c=1 d=1 t=20010
ying gai ke yi 	應該可以	c=1 d=1.47036e-06 t=22014
ying gai shi 	應該是	c=4 d=0.01901 t=22014
ying gao 	应搞	c=1 d=2.27159e-35 t=22014
ying jian 	硬件	c=1 d=1 t=21481
ying pan 	硬盤	c=2 d=5.64465e-35 t=22014
ying shan 	英山	c=1 d=1 t=20485
ying shan xian 	英山縣	c=2 d=0.00208081 t=22014
ying wen 	英文	c=4 d=8.69654e-05 t=22014
ying xiang 	影響	c=8 d=0.00207043 t=22014
ying xiong 	英雄	c=1 d=1 t=21316
ying yong 	應用	c=16 d=0.0752014 t=22014
ying yong shi chang 	應用市場	c=1 d=1 t=21958
ying yu 	英語	c=1 d=1 t=20672
yo 	喲	c=3 d=0.217621 t=22014
yong 	用	c=161 d=3.84163 t=22014
yong bu 	永不	c=0 d=7.63225e-29 t=22014
yong bu 	用不	c=0 d=1.58348e-26 t=22014
yong bu dao 	用不到	c=1 d=3.17338e-27 t=22014
yong bu le 	永不了	c=1 d=7.67051e-28 t=22014
yong bu le 	用不了	c=1 d=1.59142e-25 t=22014
yong bu shang 	用不上	c=1 d=1.96504e-06 t=22014
yong dao 	用到	c=2 d=0.147342 t=22014
yong de dao 	用得到	c=1 d=6.74942e-23 t=22014
yong dian 	用電	c=1 d=2.76406e-20 t=22014
yong guo 	用過	c=15 d=0.311988 t=22014
yong hu 	用戶	c=14 d=0.172045 t=22014
yong hu ming 	用戶名	c=3 d=0.104534 t=22014
yong lai 	用來	c=3 d=0.00451658 t=22014
yong le 	用了	c=9 d=0.000432902 t=22014
yong na ge 	用那个	c=1 d=4.97431e-21 t=22014
yong qi lai 	用起來	c=1 d=1.29178e-12 t=22014
yong wan 	用完	c=2 d=1.82777e-07 t=22014
yong yi xia 	用一下	c=1 d=1 t=19820
yong yi yong 	用一用	c=1 d=7.71314e-05 t=22014
yong yong 	用用	c=2 d=1.74704e-05 t=22014
yong you 	擁有	c=2 d=1.14964e-15 t=22014
yong yuan 	永遠	c=1 d=0.00173804 t=22014
you 	又	c=26 d=0.140229 t=22014
you 	右	c=1 d=5.03559e-18 t=22014
you 	有	c=162 d=2.18594 t=22014
you bian 	右邊	c=2 d=8.59655e-16 t=22014
you bu shi 	又不是	c=1 d=6.1484e-14 t=22014
you ce 	右側	c=1 d=5.52784e-27 t=22014
you ci 	由此	c=1 d=3.91626e-31 t=22014
you de 	有的	c=1 d=7.45165e-11 t=22014
you de ren 	有的人	c=1 d=1.44695e-23 t=22014
you dia en ren 	有嗲恩人	c=1 d=1.41194e-29 t=22014
you dian 	優點	c=3 d=7.03228e-06 t=22014
you dian 	有點	c=2 d=1.12419e-24 t=22014
you dian er 	有點兒	c=12 d=0.159118 t=22014
you dian er di 	有點兒低	c=1 d=1.9069e-35 t=22014
you dian er yong 	有點兒用	c=1 d=0.000125903 t=22014
you du 	有毒	c=1 d=3.26502e-09 t=22014
you ge 	有個	c=27 d=0.219817 t=22014
you guan 	有關	c=6 d=0.150318 t=22014
you guang gao 	有广告	c=2 d=8.26364e-14 t=22014
you hua 	優化	c=2 d=5.38763e-06 t=22014
you hui 	幽會	c=1 d=1 t=20527
you jian 	右鍵	c=1 d=3.56498e-43 t=22014
you jian 	郵件	c=20 d=1.38806e-10 t=22014
you jian di zhi 	郵件地址	c=1 d=8.95348e-24 t=22014
you jiao 	右腳	c=1 d=7.99332e-13 t=22014
you ku 	優酷	c=2 d=0.00113061 t=22014
you kui 	有愧	c=1 d=7.25138e-14 t=22014
you le 	有了	c=1 d=1 t=21183
you lie 	優劣	c=1 d=1.00153e-18 t=22014
you me you 	有麼有	c=2 d=3.04393e-14 t=22014
you mei shen me 	有沒什麼	c=1 d=2.89424e-32 t=22014
you mei you 	有沒有	c=13 d=0.595094 t=22014
you nv 	幼女	c=2 d=6.14735e-12 t=22014
you qi 	尤其	c=1 d=1 t=20915
you qian 	有錢	c=1 d=5.03388e-14 t=22014
you qu 	有趣	c=3 d=0.000254808 t=22014
you que dian 	優缺點	c=3 d=2.66531e-20 t=22014
you ren 	有人	c=13 d=0.00150862 t=22014
you ren 	誘人	c=1 d=5.6865e-07 t=22014
you shang jiao 	右上角	c=2 d=0.00145901 t=22014
you she zhi 	有設置	c=1 d=4.78919e-16 t=22014
you shen me 	有什么	c=12 d=0.0934807 t=22014
you shi 	優勢	c=3 d=0.607191 t=22014
you shi 	又是	c=5 d=7.13999e-08 t=22014
you shi 	有時	c=7 d=2.62725e-05 t=22014
you shou 	右手	c=1 d=7.95345e-13 t=22014
you shuo 	又說	c=1 d=1 t=21874
you suo 	有所	c=1 d=1 t=21910
you wen ti 	有问题	c=6 d=0.000337144 t=22014
you xi 	遊戲	c=6 d=0.0107528 t=22014
you xiang 	郵箱	c=30 d=0.105399 t=22014
you xie 	有些	c=1 d=1 t=21292
you yao 	又要	c=1 d=1 t=21681
you yi 	有意	c=1 d=2.49933e-12 t=22014
you yi ge 	由一个	c=5 d=1.44803e-09 t=22014
you yi si 	有意思	c=1 d=0.922835 t=21187
you yi si le 	有意思了	c=1 d=1 t=21188
you yu 	由於	c=1 d=3.59151e-42 t=22014
you yuan 	遊園	c=2 d=1.97093e-33 t=22014
you zhe ge 	由这个	c=1 d=0.00341356 t=22014
yu 	俁	c=1 d=1 t=20773
yu 	於	c=3 d=0.00346515 t=22014
yu 	玉	c=1 d=1 t=21054
yu 	育	c=2 d=1.12809 t=21394
yu 	與	c=4 d=2.74084e-09 t=22014
yu 	魚	c=1 d=2.5428e-09 t=22014
yu dao 	遇到	c=9 d=0.201424 t=22014
yu dao guo 	遇到过	c=1 d=0.092089 t=22014
yu guan er chu 	魚貫而出	c=1 d=3.50105e-36 t=22014
yu guan er ru 	魚貫而入	c=1 d=4.35146e-06 t=22014
yu kuai 	愉快	c=1 d=1.5298e-31 t=22014
yu le 	娛樂	c=0 d=1.0388e-37 t=22014
yu le ji zhe 	娛樂記者	c=1 d=1.044e-36 t=22014
yu ming 	域名	c=1 d=6.39584e-37 t=22014
yu nv 	玉女	c=1 d=2.32474e-13 t=22014
yu o 	鱼哦	c=0 d=1.73798e-33 t=22014
yu o na ge 	鱼哦哪個	c=1 d=1.74669e-32 t=22014
yu shi hu 	於是乎	c=3 d=0.0199285 t=22014
yu wen 	語文	c=1 d=7.26744e-40 t=22014
yu xuan ji 	魚玄機	c=3 d=8.48057e-09 t=22014
yu yan 	語言	c=4 d=0.00131852 t=22014
yu you ren 	于右任	c=1 d=1.38998e-21 t=22014
yu zhou 	宇宙	c=6 d=1.3107e-40 t=22014
yu zhou li 	宇宙裏	c=2 d=7.33562e-41 t=22014
yuan 	元	c=14 d=0.00369603 t=22014
yuan 	原	c=2 d=8.47226e-34 t=22014
yuan 	源	c=1 d=1 t=19739
yuan ban 	原版	c=6 d=1.36465e-10 t=22014
yuan ben 	原本	c=1 d=3.17835e-16 t=22014
yuan bo 	淵博	c=1 d=7.284e-08 t=22014
yuan cheng 	遠程	c=5 d=6.59376e-05 t=22014
yuan dai ma 	源代碼	c=2 d=4.13417e-21 t=22014
yuan gong 	員工	c=1 d=2.48382e-27 t=22014
yuan jia 	原價	c=2 d=2.06684e-12 t=22014
yuan lai 	原來	c=7 d=1.86215e-09 t=22014
yuan lai ru ci 	原來如此	c=2 d=2.32905e-34 t=22014
yuan li 	原理	c=11 d=2.57752e-07 t=22014
yuan ma 	源碼	c=3 d=5.62299e-18 t=22014
yuan quan 	圓圈	c=1 d=8.30088e-16 t=22014
yuan sheng 	原生	c=4 d=0.928995 t=22014
yuan shi 	原始	c=2 d=2.39513e-11 t=22014
yuan tou 	源頭	c=1 d=8.64112e-18 t=22014
yuan wang 	冤枉	c=2 d=0.0125254 t=22014
yuan wang 	願望	c=1 d=6.70869e-40 t=22014
yuan yi 	原意	c=4 d=1.69794 t=21335
yuan yi 	願意	c=3 d=0.128737 t=22014
yuan yin 	原因	c=10 d=0.165299 t=22014
yuan zheng jun 	遠征軍	c=1 d=8.91973e-09 t=22014
yue 	月	c=6 d=0.00369786 t=22014
yue 	越	c=3 d=0.00324708 t=22014
yue bing 	月餅	c=3 d=5.32546e-15 t=22014
yue da 	越大	c=3 d=2.93195e-29 t=22014
yue di 	月底	c=1 d=2.92532e-40 t=22014
yue du 	閱讀	c=4 d=3.49922 t=20682
yue du qi 	閱讀器	c=7 d=0.00486832 t=22014
yue duo 	越多	c=1 d=1 t=20871
yue fen 	月份	c=2 d=5.78326e-29 t=22014
yue kuai 	越快	c=2 d=2.00056e-29 t=22014
yue lai yue hao 	越來越好	c=1 d=1.34519e-18 t=22014
yue nan 	越南	c=2 d=1.00913e-11 t=22014
yue yu 	粵語	c=1 d=2.15522e-34 t=22014
yue yu 	越獄	c=1 d=1.87047e-14 t=22014
yue zu 	月租	c=3 d=5.31108e-37 t=22014
yun 	暈	c=1 d=1.92246e-13 t=22014
yun 	雲	c=7 d=0.2334 t=22014
yun dao 	暈倒	c=1 d=7.83504e-13 t=22014
yun dong 	運動	c=1 d=1 t=20864
yun gui 	雲貴	c=1 d=3.51023e-08 t=22014
yun hu hu 	暈糊糊	c=1 d=2.08258e-13 t=22014
yun qi 	運氣	c=1 d=6.1219e-22 t=22014
yun tou 	暈頭	c=0 d=2.23746e-05 t=22014
yun tou le 	暈頭了	c=1 d=0.000224867 t=22014
yun xing 	運行	c=12 d=0.761918 t=22014
yun xu 	允許	c=11 d=2.21427 t=22014
yun ying shang 	運營商	c=1 d=3.65473e-12 t=22014
za 	咋	c=11 d=0.0183682 t=22014
za di 	砸地	c=1 d=6.03917e-10 t=22014
za hui shi 	咋回事	c=1 d=7.63485e-32 t=22014
za yang 	咋樣	c=1 d=0.00143012 t=22014
zai 	再	c=40 d=0.676489 t=22014
zai 	在	c=134 d=3.2091 t=22014
zai bie 	再别	c=0 d=0.00632918 t=22014
zai bie kang qiao 	再别康橋	c=1 d=0.063609 t=22014
zai bu zai 	在不再	c=1 d=2.51006e-33 t=22014
zai gao 	再高	c=0 d=1.93578e-07 t=22014
zai na er 	在那兒	c=1 d=4.84654e-09 t=22014
zai shuo 	再說	c=2 d=9.77137e-23 t=22014
zai shuo le 	再说了	c=1 d=9.40453e-14 t=22014
zai xian 	在線	c=4 d=0.000294568 t=22014
zai xiang 	在想	c=1 d=2.98807e-25 t=22014
zai ye 	再也	c=1 d=1.33711e-06 t=22014
zai yi 	在意	c=1 d=1.07138e-17 t=22014
zai yong 	在用	c=1 d=6.62254e-35 t=22014
zai yu 	在於	c=1 d=0.339596 t=22014
zan 	讚	c=2 d=0.00460782 t=22014
zan shi 	暫時	c=4 d=9.20609e-05 t=22014
zao 	早	c=4 d=2.07093e-05 t=22014
zao 	藻	c=1 d=4.50876e-12 t=22014
zao bu chu 	造不出	c=1 d=6.07131e-42 t=22014
zao dian 	早點	c=2 d=1.88692 t=21194
zao fan 	早飯	c=1 d=1.34217e-21 t=22014
zao gao 	糟糕	c=2 d=6.695e-16 t=22014
zao jiu 	早就	c=1 d=1 t=21601
zao shang 	早上	c=2 d=0.0753961 t=22014
zao xing 	造型	c=1 d=4.48398e-06 t=22014
ze me 	則麼	c=0 d=0.1 t=19617
ze me yong 	則麼用	c=1 d=1 t=19618
zei gao 	賊高	c=1 d=7.19268e-36 t=22014
zen me 	怎麼	c=58 d=0.060724 t=22014
zen me ban 	怎麼辦	c=3 d=4.74159e-16 t=22014
zen me gao 	怎麼搞	c=2 d=1.03186e-16 t=22014
zen me hui 	怎麼會	c=4 d=4.36866e-23 t=22014
zen me jiang 	怎麼講	c=1 d=5.98009e-11 t=22014
zen me kan 	怎麼看	c=1 d=1.86527e-40 t=22014
zen me le 	怎麼了	c=1 d=1.00048e-35 t=22014
zen me yang 	怎麼樣	c=18 d=0.0261277 t=22014
zeng jia 	增加	c=2 d=2.47143e-27 t=22014
zeng jia dao 	增加到	c=1 d=1 t=21511
zha yao bao 	炸药包	c=1 d=1 t=21416
zha zha 	渣渣	c=2 d=1.05964e-05 t=22014
zhai 	摘	c=2 d=1.90484 t=20327
zhai chao 	摘抄	c=1 d=1 t=20457
zhan dou 	戰鬥	c=1 d=1 t=21374
zhan guo 	戰國	c=1 d=0.00224287 t=22014
zhan kai 	展開	c=1 d=1 t=21408
zhan wu 	站務	c=1 d=1 t=21949
zhan yong 	佔用	c=3 d=7.16191e-15 t=22014
zhang 	張	c=4 d=5.57675e-13 t=22014
zhang 	漲	c=1 d=1.17427e-37 t=22014
zhang 	長	c=1 d=5.7298e-08 t=22014
zhang gong zi 	漲工資	c=1 d=2.04871e-26 t=22014
zhang hao 	帳號	c=26 d=0.00048106 t=22014
zhang hu 	賬戶	c=22 d=5.74653e-11 t=22014
zhang jia 	漲價	c=3 d=3.4837e-07 t=22014
zhang jia jie 	張家界	c=1 d=7.05168e-09 t=22014
zhang jun 	张君	c=4 d=5.06507e-12 t=22014
zhao 	兆	c=2 d=1.99501 t=20775
zhao 	找	c=3 d=9.48066e-14 t=22014
zhao 	昭	c=1 d=1.06271e-39 t=22014
zhao 	照	c=1 d=8.55222e-14 t=22014
zhao 	趙	c=3 d=1.55656 t=21325
zhao ben shan 	趙本山	c=2 d=0.0028799 t=22014
zhao bu dao 	找不到	c=9 d=0.23813 t=22014
zhao bu dao le 	找不到了	c=1 d=1 t=21759
zhao chu lai 	找出來	c=1 d=4.82401e-13 t=22014
zhao dao 	找到	c=3 d=0.299692 t=22014
zhao dao yi ge 	找到一個	c=1 d=0.000212834 t=22014
zhao dong lai 	趙東來	c=1 d=1 t=21107
zhao ge 	找個	c=3 d=9.04137e-05 t=22014
zhao ji 	着急	c=1 d=0.0558548 t=22014
zhao kai 	召開	c=1 d=4.23522e-11 t=22014
zhao lai 	找來	c=1 d=1 t=20054
zhao le 	找了	c=1 d=6.62839e-16 t=22014
zhao li you 	找理由	c=2 d=1.64371e-13 t=22014
zhao ni 	找你	c=1 d=1.01947e-21 t=22014
zhao pian 	照片	c=5 d=3.19188e-22 t=22014
zhao ren 	找人	c=1 d=1.07174e-21 t=22014
zhao ta 	找他	c=1 d=3.29661e-34 t=22014
zhao zhe me 	找這麼	c=1 d=8.46713e-14 t=22014
zhe 	折	c=2 d=0.229925 t=22014
zhe 	着	c=1 d=4.70396e-40 t=22014
zhe 	者	c=1 d=2.14856e-28 t=22014
zhe 	這	c=52 d=0.141815 t=22014
zhe bian 	這邊	c=2 d=3.54671e-12 t=22014
zhe bu 	這部	c=1 d=3.57074e-12 t=22014
zhe bu fei hua 	這部廢話	c=1 d=4.1938e-13 t=22014
zhe ci 	這次	c=2 d=4.0154e-31 t=22014
zhe duan wen zi 	这段文字	c=1 d=1 t=20803
zhe ge 	這個	c=167 d=1.37758 t=22014
zhe ge fa er 	这个法儿	c=1 d=1.44971e-16 t=22014
zhe ge mi 	这个谜	c=1 d=3.87928e-37 t=22014
zhe ge mu lu 	這個目錄	c=1 d=2.89778e-17 t=22014
zhe jia huo 	這傢伙	c=1 d=0.332871 t=22014
zhe jiu 	這就	c=2 d=0.0160027 t=22014
zhe jiu shi 	這就是	c=1 d=1 t=21263
zhe li 	這裏	c=9 d=0.184529 t=22014
zhe li mian 	这里面	c=1 d=4.03484e-29 t=22014
zhe liang ge 	這兩個	c=3 d=7.56298e-09 t=22014
zhe me 	這麼	c=22 d=0.598462 t=22014
zhe me da 	這麼大	c=1 d=0.00236968 t=22014
zhe me duo 	這麼多	c=2 d=0.00037447 t=22014
zhe me shuo 	这么说	c=3 d=2.32355e-07 t=22014
zhe ming zi 	這名字	c=1 d=2.13378e-34 t=22014
zhe qi zhong 	这其中	c=1 d=0.00012341 t=22014
zhe qun 	這羣	c=1 d=6.80914e-09 t=22014
zhe shi 	這是	c=26 d=0.995012 t=22014
zhe shi 	這時	c=1 d=5.70705e-20 t=22014
zhe shi ge 	這是個	c=1 d=8.59802e-18 t=22014
zhe shi yi zhong 	這是一種	c=1 d=1 t=20415
zhe teng 	折騰	c=2 d=0.637628 t=22014
zhe teng le 	折腾了	c=0 d=1.02086e-38 t=22014
zhe wei 	這位	c=1 d=0.0120342 t=22014
zhe xia 	這下	c=1 d=9.33823e-19 t=22014
zhe xia zi 	這下子	c=1 d=1.16002e-11 t=22014
zhe xie 	這些	c=8 d=6.97914e-06 t=22014
zhe xie yan yuan 	這些演員	c=1 d=1 t=20101
zhe yang 	這樣	c=33 d=0.020379 t=22014
zhe yao 	這要	c=0 d=2.05548e-07 t=22014
zhe yao shi 	這要是	c=1 d=2.06579e-06 t=22014
zhe yi bu 	這一步	c=1 d=1.28158e-07 t=22014
zhe yi duan 	這一段	c=1 d=1 t=21496
zhe yi ge 	這一個	c=1 d=7.07595e-20 t=22014
zhe you 	這有	c=1 d=9.74615e-22 t=22014
zhe zhi 	這隻	c=0 d=7.23881e-24 t=22014
zhe zhi jian 	這隻鍵	c=1 d=7.2751e-23 t=22014
zhe zhong 	這種	c=8 d=0.210136 t=22014
zhen 	幀	c=2 d=0.00326335 t=22014
zhen 	真	c=26 d=0.00801557 t=22014
zhen 	鎮	c=3 d=0.00556111 t=22014
zhen bu gai 	真不該	c=1 d=0.169483 t=22014
zhen dong 	震動	c=2 d=1.08596e-19 t=22014
zhen duan 	診斷	c=1 d=1.34798e-13 t=22014
zhen dui 	針對	c=3 d=7.77893e-16 t=22014
zhen hui 	真會	c=1 d=7.8947e-14 t=22014
zhen ke neng 	真可能	c=1 d=4.39654e-39 t=22014
zhen li 	真理	c=1 d=1.52741e-42 t=22014
zhen shi 	真實	c=12 d=0.00748597 t=22014
zhen shi 	真是	c=1 d=5.64623e-41 t=22014
zhen xiang 	真像	c=2 d=1.75246e-12 t=22014
zhen xiang 	真想	c=1 d=1.88337e-36 t=22014
zhen yao 	真要	c=1 d=4.36792e-21 t=22014
zhen you 	真有	c=1 d=3.28988e-10 t=22014
zhen zheng 	真正	c=1 d=2.13784e-27 t=22014
zhen zi dan 	甄子丹	c=1 d=1 t=20239
zheng 	鄭	c=3 d=1.66381 t=21159
zheng chang 	正常	c=21 d=0.0930294 t=22014
zheng chang qing kuang 	正常情况	c=1 d=9.89344e-22 t=22014
zheng chang ren 	正常人	c=2 d=0.00349997 t=22014
zheng chao 	爭吵	c=1 d=4.41722e-06 t=22014
zheng fa 	政法	c=0 d=0.1 t=21389
zheng fa bi ye 	政法畢業	c=1 d=1 t=21390
zheng fu 	征服	c=1 d=1.27497e-05 t=22014
zheng guo 	正果	c=1 d=0.0478349 t=22014
zheng jian 	證件	c=2 d=1.73344e-23 t=22014
zheng jie 	整潔	c=1 d=1.51226e-13 t=22014
zheng lun 	爭論	c=1 d=4.09805e-06 t=22014
zheng mian 	正面	c=1 d=5.75344e-27 t=22014
zheng mian ren wu 	正面人物	c=1 d=1 t=21136
zheng ming 	證明	c=1 d=5.36447e-27 t=22014
zheng neng liang 	正能量	c=1 d=5.63166e-40 t=22014
zheng qian fang 	正前方	c=2 d=1.94995e-40 t=22014
zheng que 	正確	c=2 d=1.37427e-05 t=22014
zheng rong 	整容	c=2 d=0.00229965 t=22014
zheng sheng li 	鄭勝利	c=3 d=2.56937 t=21210
zheng shi 	正事	c=1 d=5.80317e-40 t=22014
zheng shu 	證書	c=2 d=0.000188766 t=22014
zheng ti 	整體	c=2 d=8.85665e-37 t=22014
zheng wen 	正文	c=1 d=1 t=20161
zheng xie 	政協	c=2 d=3.04058e-12 t=22014
zheng zai 	正在	c=8 d=2.21251e-19 t=22014
zheng zheng 	整整	c=1 d=1 t=20768
zhi 	之	c=3 d=4.5769e-12 t=22014
zhi 	值	c=3 d=2.57783e-41 t=22014
zhi 	只	c=7 d=0.11475 t=22014
zhi 	指	c=1 d=2.44177e-32 t=22014
zhi 	知	c=1 d=3.85533e-23 t=22014
zhi 	致	c=1 d=8.35839e-09 t=22014
zhi bo 	直播	c=4 d=7.65616e-06 t=22014
zhi bu guo 	只不過	c=2 d=3.02334e-16 t=22014
zhi cai 	之才	c=1 d=1 t=20556
zhi chi 	支持	c=46 d=0.883115 t=22014
zhi chu 	支出	c=1 d=5.12929e-29 t=22014
zhi ci 	至此	c=0 d=0.1 t=20224
zhi ci he 	至此和	c=1 d=1 t=20225
zhi dai 	指代	c=1 d=5.17275e-40 t=22014
zhi dao 	知道	c=16 d=1.00676e-08 t=22014
zhi de 	值得	c=1 d=1 t=21264
zhi dian yi xia 	指点一下	c=1 d=3.87532e-25 t=22014
zhi du 	制度	c=2 d=0.000232877 t=22014
zhi fu bao 	支付寶	c=2 d=9.80768e-29 t=22014
zhi hou 	之後	c=2 d=1.86071 t=21643
zhi hu 	知乎	c=4 d=0.66034 t=22014
zhi hu jie 	知乎藉	c=1 d=1.01615e-12 t=22014
zhi hui 	只會	c=1 d=4.13923e-06 t=22014
zhi hui 	智慧	c=1 d=4.11859e-06 t=22014
zhi jia 	之家	c=1 d=7.50304e-33 t=22014
zhi jian 	之間	c=7 d=3.53756e-11 t=22014
zhi jie 	直接	c=25 d=0.00414582 t=22014
zhi jie chi 	直接吃	c=1 d=1.03647e-39 t=22014
zhi jin wu 	執金吾	c=1 d=1 t=20528
zhi lei 	之類	c=4 d=0.00017252 t=22014
zhi lian 	直連	c=3 d=2.93124 t=21991
zhi liang 	質量	c=3 d=7.05877e-33 t=22014
zhi ma 	芝麻	c=1 d=4.41858e-39 t=22014
zhi min 	殖民	c=3 d=0.166292 t=22014
zhi neng 	只能	c=5 d=2.93299e-12 t=22014
zhi neng 	智能	c=12 d=6.5765e-12 t=22014
zhi qian 	之前	c=16 d=2.19964e-13 t=22014
zhi ri ke dai 	指日可待	c=1 d=2.86739e-40 t=22014
zhi shang 	智商	c=1 d=2.58202e-42 t=22014
zhi shao 	至少	c=2 d=5.37012e-10 t=22014
zhi shi 	只是	c=8 d=0.0223708 t=22014
zhi shi 	知識	c=2 d=3.1747e-05 t=22014
zhi suo yi 	之所以	c=1 d=4.6116e-42 t=22014
zhi wen 	指紋	c=3 d=2.99379e-18 t=22014
zhi xiang 	只想	c=1 d=3.0098e-22 t=22014
zhi xin 	之心	c=1 d=0.0432828 t=22014
zhi xing 	之星	c=8 d=9.19965e-15 t=22014
zhi xing 	執行	c=1 d=0.0208584 t=22014
zhi xu yao 	只需要	c=9 d=0.217697 t=22014
zhi yao 	只要	c=4 d=0.0269358 t=22014
zhi ye 	職業	c=1 d=1.86209e-20 t=22014
zhi yong 	只用	c=1 d=7.05288e-11 t=22014
zhi you 	只有	c=16 d=0.216743 t=22014
zhi yu 	至於	c=1 d=1 t=21106
zhi zhi chi 	只支持	c=1 d=5.34607e-16 t=22014
zhi zuo 	製作	c=2 d=6.17501e-06 t=22014
zhi zuo yi ge 	制作一个	c=1 d=8.85534e-12 t=22014
zhong 	中	c=10 d=7.12497e-13 t=22014
zhong 	終	c=1 d=1.63506e-22 t=22014
zhong 	鍾	c=2 d=6.6023e-20 t=22014
zhong dian 	重點	c=1 d=1.17168e-11 t=22014
zhong du 	中毒	c=1 d=1.3587e-18 t=22014
zhong duan xia 	終端下	c=1 d=5.79428e-22 t=22014
zhong guo 	中國	c=13 d=0.157025 t=22014
zhong guo ren 	中國人	c=1 d=6.93112e-12 t=22014
zhong hua 	中華	c=0 d=3.76667e-15 t=22014
zhong hua wan nian li 	中華萬年曆	c=1 d=3.78555e-14 t=22014
zhong jian 	中間	c=4 d=0.018968 t=22014
zhong jiu 	終究	c=1 d=3.21641e-09 t=22014
zhong shen 	終身	c=1 d=2.46765e-09 t=22014
zhong wen 	中文	c=6 d=0.000106003 t=22014
zhong wen ne 	中文呢	c=1 d=1 t=20139
zhong wu 	中午	c=4 d=0.0765355 t=22014
zhong xin 	中信	c=4 d=1.78775e-22 t=22014
zhong xin 	中心	c=9 d=3.14864e-08 t=22014
zhong xing 	中興	c=1 d=1.42837e-18 t=22014
zhong yang 	中央	c=3 d=2.79643 t=21076
zhong yang tai 	中央臺	c=1 d=5.17379e-13 t=22014
zhong yao 	重要	c=2 d=4.82654e-40 t=22014
zhong yu 	終於	c=1 d=2.49882e-39 t=22014
zhong zhuan 	中轉	c=2 d=1.00158e-08 t=22014
zhou dao 	周到	c=1 d=2.00815e-26 t=22014
zhou en lai 	周恩來	c=1 d=4.45616e-21 t=22014
zhou liu 	週六	c=1 d=2.60133e-12 t=22014
zhou mo 	週末	c=2 d=2.58835e-12 t=22014
zhou tian zi 	周天子	c=1 d=0.00285124 t=22014
zhou wei 	周圍	c=1 d=0.136014 t=22014
zhou xing chi 	周星馳	c=2 d=7.30037e-05 t=22014
zhu 	主	c=2 d=6.99959e-10 t=22014
zhu 	住	c=2 d=2.27053e-30 t=22014
zhu 	築	c=1 d=1 t=22003
zhu ban 	主板	c=1 d=2.20445e-35 t=22014
zhu ce 	註冊	c=24 d=0.113075 t=22014
zhu ce hou 	注册后	c=1 d=1.33388e-07 t=22014
zhu ji 	主機	c=13 d=0.00188299 t=22014
zhu jue 	主角	c=1 d=2.27793e-09 t=22014
